state,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
District of Columbia,2012,640025,425483.3333,96.91666667,114.0833333,317.0833333,0.974375861,0.21760296
District of Columbia,2013,700541.6667,469925,99.58333333,128.1666667,273.8333333,0.99080275,0.320592412
District of Columbia,2014,680175,480333.3333,103.25,126.0833333,268.1666667,0.990498661,0.316419877
District of Columbia,2015,725766.6667,519300,104.9166667,129.9166667,274.1666667,0.993040945,0.335809731
District of Columbia,2016,728758.3333,543783.3333,112.25,139.8333333,272.5,0.992744402,0.338502585
District of Columbia,2017,748250,550266.6667,124.3333333,153.25,305.9166667,0.99588083,0.33956083
District of Columbia,2018,812616.6667,573791.6667,119.0833333,143.25,250.4166667,0.991072131,0.339175957
District of Columbia,2019,817666.6667,594208.3333,121.0833333,147.4166667,318.25,0.99764113,0.342508833
District of Columbia,2020,894616.6667,629383.3333,119.6666667,132,247,1.003575144,0.383109873
District of Columbia,2021,1062091.667,643225,118.6666667,131.9166667,188.3333333,1.031230832,0.493445492
Connecticut,2012,214200,209683.3333,1133.333333,1753.166667,10587.16667,0.949089565,0.11934026
Connecticut,2013,213441.6667,210325,1258.916667,1922,10581,0.956572992,0.141232236
Connecticut,2014,211633.3333,211416.6667,1298.916667,2072.833333,11081.66667,0.957651871,0.13944089
Connecticut,2015,208383.3333,208658.3333,1422.666667,2213.916667,9837.333333,0.96245,0.157548047
Connecticut,2016,264208.3333,254408.3333,2847.666667,3836.083333,16766.58333,0.964796585,0.16629661
Connecticut,2017,277475,269175,3022.333333,3895.25,15536.83333,0.969651805,0.19668885
Connecticut,2018,286566.6667,278725,2973.25,3898.083333,15255.83333,0.972537694,0.217866278
Connecticut,2019,285583.3333,284375,2993.666667,3824.083333,14697.41667,0.973284278,0.232134733
Connecticut,2020,333725,320175,3584.25,3940,11079.08333,0.985857156,0.335013353
Connecticut,2021,385008.3333,331558.3333,3554.75,3751.5,7705.916667,1.012440978,0.532946413
Delaware,2012,206858.3333,189541.6667,412.1666667,538.5833333,2352.25,0.96274592,0.142167511
Delaware,2013,216091.6667,201883.3333,435,578.6666667,2138.083333,0.969423037,0.152426034
Delaware,2014,225183.3333,208891.6667,431.1666667,609.8333333,2331.083333,0.974448383,0.152804514
Delaware,2015,235275,213650,494.9166667,648.1666667,2379.583333,0.972842421,0.155974493
Delaware,2016,241333.3333,218400,533.9166667,674.5,2420.833333,0.975610487,0.168625393
Delaware,2017,240583.3333,218641.6667,592.3333333,692,2251.25,0.978518911,0.191102497
Delaware,2018,247541.6667,228666.6667,581.0833333,675.6666667,1767.25,0.984242512,0.224151712
Delaware,2019,264908.3333,240191.6667,560.3333333,631.25,1546.583333,0.983811324,0.214201258
Delaware,2020,283733.3333,259700,593.9166667,626.6666667,982.1666667,0.990828254,0.272115738
Delaware,2021,323408.3333,285433.3333,658,683.5833333,736,1.004672944,0.392125074
Florida,2012,153158.3333,142900,14413.66667,14309,74096.41667,0.954354846,0.169107368
Florida,2013,180333.3333,163391.6667,16265.33333,17740.5,77165.33333,0.964486616,0.182061696
